Genus,Species,Classification
Acromyrmex,Ant,Insect
Acyrthosiphon,Aphid,Insect
Aedes,Mosquito,Insect
Amegilla,Bee,Insect
Agrilus,Beetle,Insect
Agrotis,Moth,Insect
Altica,Beetle,Insect
Amiota,Fly,Insect
Ampulex,Wasp,Insect
Amyelois,Moth,Insect
Anastrepha,Fly,Insect
Andrena,Bee,Insect
Anopheles,Mosquito,Insect
Anoplophora,Beetle,Insect
Anthophora,Bee,Insect
Aphis,Aphid,Insect
Apis,Bee,Insect
Apoidea,Bee,Insect
Argiope,Spider,Arachnid
Armadillidium,WoodLouse,Insect
Ascoidea,Mite,Arachnid
Athalia,Sawfly,Insect
Atta,Ant,Insect
Bactrocera,Fly,Insect
Belonocnema,Wasp,Insect
Bemisia,Fly,Insect
Bibio,Fly,Insect
Bicyclus,Butterfly,Insect
Biphyllus,Beetle,Insect
Blattella,Cockroach,Insect
Bombus,Bee,Insect
Bombyx,Moth,Insect
Bradysia,Gnat,Insect
Brevineura,Bee,Insect
Caenohalictus,Bee,Insect
Calliphora,Fly,Insect
Camponotus,Ant,Insect
Campsomeris,Wasp,Insect
Centruroidessculpturatus,Scorpion,Arachnid
Cephus,Sawfly,Insect
Centris,Bee,Insect
Ceratina,Bee,Insect
Ceratitis,Fruitfly,Insect
Ceratosolen,Wasp,Insect
Chalybion,Wasp,Insect
Chelonus,Wasp,Insect
Chironomus,Midge,Insect
Chrysis,Wasp,Insect
Chrysomela,Beetle,Insect
Chrysomya,Fly,Insect
Chrysoperla,Lacewing,Insect
Chyphotes,Wasp,Insect
Cimex,Bedbug,Insect
Cinara,Aphid,Insect
Cochliomyia,Fly,Insect
Colletes,Bee,Insect
Contarinia,Fly,Insect
Copidosoma,Wasp,Insect
Coptotermes,Termite,Insect
Cordulia,Dragonfly,Insect
Corynura,Bee,Insect
Cotesia,Wasp,Insect
Clunio,Midge,Insect
Cryptopone,Ant,Insect
Cryptotermes,Termite,Insect
Ctenocephalides,Flea,Insect
Culex,Mosquito,Insect
Culicoides,Midge,Insect
Curelius,Beetle,Insect
Cyphomyrmex,Ant,Insect
Dacus,Fly,Insect
Danaus,Butterfly,Insect
Dasymutilla,Wasp,Insect
Delia,Fly,Insect
Dendroctonus,Beetle,Insect
Dermatophagoides,Dustmite,Arachnid
Diabrotica,Beetle,Insect
Diachasma,Wasp,Insect
Diadasia,Bee,Insect
Diaphorina,Hemipteran,Insect
Dichotomius,Beetle,Insect
Dinoponera,Ant,Insect
Diuraphis,TreeBug,Insect
Drosophila,Fly,Insect
Dufourea,Bee,Insect
Epalpus,Fly,Insect
Epeolus,Bee,Insect
Epicauta,Beetle,Insect
Episyrphus,Hoverfly,Insect
Eriocheir,Crab,Crustacean
Eristalis,Hoverfly,Insect
Eucera,Bee,Insect
Eufriesea,Bee,Insect
Euglossa,Bee,Insect
Eulaema,Bee,Insect
Exaerete,Bee,Insect
Exoneura,Bee,Insect
Exoneurella,Bee,Insect
Exorista,Fly,Insect
Eyprepocnemis,Grasshopper,Insect
Folsomia,Springtail,Insect
Fopius,Wasp,Insect
Forficula,Earwig,Insect
Formica,Ant,Insect
Frankliniella,Thrip,Insect
Frieseomelitta,Bee,Insect
Galleria,Moth,Insect
Glossina,Fly,Insect
Glyptapanteles,Wasp,Insect
Habropoda,Bee,Insect
Halictus,Bee,Insect
Halyomorpha,ShieldBug,Insect
Harmonia,Ladybug,Insect
Harpegnathos,Ant,Insect
Hedychridium,Wasp,Insect
Heliconius,Butterfly,Insect
Helicoverpa,Moth,Insect
Heliothis,Moth,Insect
Helobdella,Leech,Annelid
Hermetia,Fly,Insect
Heterospilus,Wasp,Insect
Hirtodrosophila,Fly,Insect
Holotrichia,Beetle,Insect
Homalictus,Bee,Insect
Hoplitis,Bee,Insect
Hycleus,Beetle,Insect
Hylaeus,Bee,Insect
Hyposmocoma,Moth,Insect
Ladona,Dragonfly,Insect
Linepithema,Ant,Insect
Laodelphax,TrueBug,Insect
Lasioglossum,Bee,Insect
Lasius,Ant,Insect
Leopoldius,Fly,Insect
Lepidotrigona,Bee,Insect
Leptidea,Butterfly,Insect
Leptinotarsa,Beetle,Insect
Libellula,Dragonfly,Insect
Liriomyza,Fly,Insect
Lissorhoptrus,Weevil,Insect
Locusta,Locust,Insect
Lucilia,Fly,Insect
Lutzomyia,Sandfly,Insect
Lymantria,Moth,Insect
Lysiphlebus,Wasp,Insect
Lytta,Beetle,Insect
Maconellicoccus,TrueBug,Insect
Mamestra,Moth,Insect
Manduca,Moth,Insect
Maniola,Butterfly,Insect
Mayetiola,Fly,Insect
Megachile,Bee,Insect
Megalopta,Bee,Insect
Megaselia,Fly,Insect
Melaloncha,Fly,Insect
Melanagromyza,Fly,Insect
Melanaphis,TrueBug,Insect
Melangyna,Hoverfly,Insect
